"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
10282,"< $25,000",230,190,** ,30,50
10282,"$25,000 - $49,999",130,90,40,** ,20
10282,"$50,000 - $74,999",140,110,** ,20,30
10282,"$75,000 -  $99,999",140,100,30,** ,20
10282,"$100,000 - $199,999",370,230,100,20,60
10282,"$200,000+",1380,320,990,60,80
,,,,,,
10301,total,"18,300","9,390","4,790","3,710","4,190"
10301,"< $25,000",6360,4090,720,1460,1140
10301,"$25,000 - $49,999",3970,2180,650,1050,760
10301,"$50,000 - $74,999",2720,1470,580,580,650
10301,"$75,000 -  $99,999",1670,760,540,300,480
10301,"$100,000 - $199,999",2650,760,1530,290,780
10301,"$200,000+",930,130,770,30,380
,,,,,,
10302,total,"8,250","3,870","2,310","1,940","1,520"
10302,"< $25,000",3250,2060,420,750,440
10302,"$25,000 - $49,999",1910,860,420,590,320
10302,"$50,000 - $74,999",1120,500,290,300,260
10302,"$75,000 -  $99,999",730,230,320,160,200
10302,"$100,000 - $199,999",1080,220,710,140,260
10302,"$200,000+",160,** ,150,** ,40
,,,,,,
10303,total,"12,430","5,910","2,700","3,570","1,940"
10303,"< $25,000",5200,3140,650,1340,610
10303,"$25,000 - $49,999",3070,1430,510,1060,450
10303,"$50,000 - $74,999",1790,700,400,630,340
10303,"$75,000 -  $99,999",1040,350,370,290,250
10303,"$100,000 - $199,999",1220,290,690,250,290
10303,"$200,000+",110,** ,80,** ,** 
,,,,,,
10304,total,"20,220","9,460","5,550","4,840","4,120"
10304,"< $25,000",8170,4910,1070,2090,1270
10304,"$25,000 - $49,999",4630,2140,950,1450,790
10304,"$50,000 - $74,999",2540,1160,670,650,550
10304,"$75,000 -  $99,999",1560,620,580,310,430
10304,"$100,000 - $199,999",2350,530,1470,290,720
10304,"$200,000+",970,100,810,50,360
,,,,,,
10305,total,"19,640","9,390","7,020","2,910","4,590"
10305,"< $25,000",6710,4340,1290,1000,1460
10305,"$25,000 - $49,999",4230,2150,1200,810,830
10305,"$50,000 - $74,999",2850,1380,920,470,680
10305,"$75,000 -  $99,999",2080,760,970,300,580
10305,"$100,000 - $199,999",3120,680,2100,300,850
10305,"$200,000+",650,80,540,30,190
,,,,,,
10306,total,"27,370","12,900","10,390","3,510","7,400"
10306,"< $25,000",8170,5670,1370,1010,2020
10306,"$25,000 - $49,999",5250,2930,1350,880,1300
10306,"$50,000 - $74,999",3950,2060,1140,610,1160
10306,"$75,000 -  $99,999",3060,1110,1390,470,920
10306,"$100,000 - $199,999",5440,980,3840,500,1550
10306,"$200,000+",1500,150,1300,40,450
,,,,,,
10307,total,"6,620","3,100","2,660",700,"1,510"
10307,"< $25,000",1820,1430,200,170,360
10307,"$25,000 - $49,999",1020,600,240,170,230
10307,"$50,000 - $74,999",880,480,240,120,210
10307,"$75,000 -  $99,999",720,260,330,100,210
10307,"$100,000 - $199,999",1540,290,1080,140,350
10307,"$200,000+",640,40,570,** ,150
,,,,,,
10308,total,"13,800","6,570","5,490","1,450","3,910"
10308,"< $25,000",3690,2790,520,340,950
10308,"$25,000 - $49,999",2370,1460,540,330,650
10308,"$50,000 - $74,999",2080,1100,620,290,630
10308,"$75,000 -  $99,999",1640,590,770,220,570
10308,"$100,000 - $199,999",3240,570,2350,250,910
10308,"$200,000+",780,60,690,20,200
,,,,,,
10309,total,"15,270","7,030","6,250","1,660","3,710"
10309,"< $25,000",3960,3000,510,390,900
10309,"$25,000 - $49,999",2600,1540,590,420,600
10309,"$50,000 - $74,999",2150,1150,650,290,520
10309,"$75,000 -  $99,999",1700,640,760,230,480
10309,"$100,000 - $199,999",3630,620,2630,300,900
10309,"$200,000+",1230,80,1110,30,310
,,,,,,
10310,total,"11,600","5,390","3,400","2,550","2,440"
10310,"< $25,000",4240,2650,520,1030,640
10310,"$25,000 - $49,999",2440,1220,430,720,430
10310,"$50,000 - $74,999",1550,740,380,370,380
10310,"$75,000 -  $99,999",1020,380,390,210,290
10310,"$100,000 - $199,999",1860,370,1230,220,530
10310,"$200,000+",490,30,450,** ,170
,,,,,,
10312,total,"29,460","13,430","12,240","3,150","8,180"
10312,"< $25,000",7710,5690,1200,700,1920
10312,"$25,000 - $49,999",5110,2990,1240,780,1290
10312,"$50,000 - $74,999",4230,2270,1210,600,1220
10312,"$75,000 -  $99,999",3460,1300,1550,490,1120
10312,"$100,000 - $199,999",6870,1040,5180,520,2020
10312,"$200,000+",2080,140,1860,60,610
,,,,,,
10314,total,"41,190","19,170","15,910","5,190","11,010"
10314,"< $25,000",12250,8330,2270,1490,2870
10314,"$25,000 - $49,999",8230,4440,2250,1350,1920
10314,"$50,000 - $74,999",5980,2940,1890,950,1650
10314,"$75,000 -  $99,999",4540,1740,2010,610,1400
10314,"$100,000 - $199,999",8160,1520,5730,740,2490
10314,"$200,000+",2030,200,1760,50,680
,,,,,,
10451,total,"23,750","12,220","2,610","8,600","3,650"
10451,"< $25,000",11890,7020,910,3860,1740
10451,"$25,000 - $49,999",6880,3070,770,2940,910
10451,"$50,000 - $74,999",3020,1340,410,1210,570
10451,"$75,000 -  $99,999",1110,460,230,390,240
10451,"$100,000 - $199,999",780,330,250,200,170
10451,"$200,000+",70,** ,40,** ,20
,,,,,,
10452,total,"36,880","18,670","4,570","13,170","4,390"
10452,"< $25,000",20910,12390,1770,6540,2580
10452,"$25,000 - $49,999",10330,4240,1510,4420,1050
10452,"$50,000 - $74,999",3780,1450,690,1560,480
10452,"$75,000 -  $99,999",1170,400,320,440,170
10452,"$100,000 - $199,999",660,190,280,210,110
10452,"$200,000+",30,** ,** ,** ,** 
,,,,,,
10453,total,"38,520","19,590","4,480","13,950","4,700"
10453,"< $25,000",22690,13300,1790,7360,2790
10453,"$25,000 - $49,999",10580,4400,1520,4500,1130
10453,"$50,000 - $74,999",3500,1350,600,1480,470
10453,"$75,000 -  $99,999",1050,340,290,400,160
10453,"$100,000 - $199,999",660,200,280,210,150
10453,"$200,000+",40,** ,** ,** ,** 
,,,,,,
10454,total,"15,960","7,920","1,750","6,140","1,480"
10454,"< $25,000",9170,5250,640,3220,880
10454,"$25,000 - $49,999",4510,1840,560,2060,350
10454,"$50,000 - $74,999",1480,560,270,630,160
10454,"$75,000 -  $99,999",430,150,110,160,50
10454,"$100,000 - $199,999",330,120,150,70,40
10454,"$200,000+",40,** ,20,** ,** 
,,,,,,
10455,total,"18,080","8,900","2,200","6,780","1,760"
10455,"< $25,000",9940,5760,750,3340,970
10455,"$25,000 - $49,999",5250,2140,740,2310,480
10455,"$50,000 - $74,999",1950,720,400,790,200
10455,"$75,000 -  $99,999",600,190,170,230,60
10455,"$100,000 - $199,999",320,90,140,110,50
10455,"$200,000+",20,** ,** ,0,** 
,,,,,,
10456,total,"40,930","20,310","4,610","15,510","4,350"
10456,"< $25,000",23760,13710,1770,8020,2460
10456,"$25,000 - $49,999",11500,4650,1560,5130,1120
10456,"$50,000 - $74,999",3890,1420,720,1690,470
10456,"$75,000 -  $99,999",1130,360,300,450,180
10456,"$100,000 - $199,999",630,170,260,220,120
10456,"$200,000+",20,** ,** ,** ,** 
,,,,,,
10457,total,"33,210","16,580","3,870","12,360","3,820"
10457,"< $25,000",19410,11160,1520,6540,2230
10457,"$25,000 - $49,999",9120,3790,1250,3960,920
10457,"$50,000 - $74,999",3090,1160,580,1300,410
10457,"$75,000 -  $99,999",950,290,260,370,140
10457,"$100,000 - $199,999",600,180,260,190,120
10457,"$200,000+",40,** ,** ,** ,** 
,,,,,,
10458,total,"34,640","17,740","4,990","11,500","3,940"
10458,"< $25,000",19210,11340,1870,5830,2170
10458,"$25,000 - $49,999",9550,4110,1570,3730,900
10458,"$50,000 - $74,999",3750,1570,760,1350,500
10458,"$75,000 -  $99,999",1220,440,410,360,200
10458,"$100,000 - $199,999",870,280,360,230,170
10458,"$200,000+",40,** ,20,** ,** 
,,,,,,
10459,total,"21,610","10,790","2,530","8,020","2,390"
10459,"< $25,000",11790,7000,880,3780,1290
10459,"$25,000 - $49,999",6360,2650,800,2820,610
10459,"$50,000 - $74,999",2250,810,430,970,300
10459,"$75,000 -  $99,999",720,210,200,300,110
10459,"$100,000 - $199,999",490,120,220,150,80
10459,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
10460,total,"25,850","12,680","2,930","9,880","2,790"
10460,"< $25,000",14270,8220,1120,4810,1490
10460,"$25,000 - $49,999",7450,3020,870,3420,710
10460,"$50,000 - $74,999",2590,980,440,1110,330
10460,"$75,000 -  $99,999",900,290,240,350,140
10460,"$100,000 - $199,999",600,170,240,190,120
10460,"$200,000+",40,** ,20,** ,** 
,,,,,,
10461,total,"24,470","12,370","6,110","5,430","4,710"
10461,"< $25,000",8470,5440,1350,1570,1670
10461,"$25,000 - $49,999",6270,3210,1200,1720,990
10461,"$50,000 - $74,999",4160,1960,920,1140,810
10461,"$75,000 -  $99,999",2400,970,790,550,520
10461,"$100,000 - $199,999",2780,720,1560,430,620
10461,"$200,000+",390,70,290,20,100
,,,,,,
10462,total,"40,060","19,870","8,410","10,930","6,850"
10462,"< $25,000",15620,9410,2570,3420,2520
10462,"$25,000 - $49,999",11150,5150,2080,3650,1690
10462,"$50,000 - $74,999",7250,3280,1450,2310,1340
10462,"$75,000 -  $99,999",3170,1230,910,940,660
10462,"$100,000 - $199,999",2670,760,1260,610,570
10462,"$200,000+",200,40,140,** ,70
,,,,,,
10463,total,"34,270","18,110","7,600","7,670","8,710"
10463,"< $25,000",12040,8070,1180,2620,2740
10463,"$25,000 - $49,999",7570,3990,1120,2290,1500
10463,"$50,000 - $74,999",5140,2670,920,1340,1230
10463,"$75,000 -  $99,999",3280,1550,840,740,970
10463,"$100,000 - $199,999",4640,1560,2300,610,1620
10463,"$200,000+",1600,270,1240,70,650
,,,,,,
10464,total,"2,180","1,180",650,280,770
10464,"< $25,000",540,410,50,60,170
10464,"$25,000 - $49,999",400,270,50,70,110
10464,"$50,000 - $74,999",360,230,60,60,130
10464,"$75,000 -  $99,999",270,130,80,40,110
10464,"$100,000 - $199,999",430,120,260,50,170
10464,"$200,000+",180,20,150,** ,80
,,,,,,
10465,total,"19,810","9,970","4,870","4,580","4,530"
10465,"< $25,000",5990,4120,590,1210,1360
10465,"$25,000 - $49,999",4420,2410,640,1310,910
10465,"$50,000 - $74,999",3330,1680,640,920,760
10465,"$75,000 -  $99,999",2230,890,690,560,580
10465,"$100,000 - $199,999",3230,790,1830,540,760
