"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
14212,"< $25,000",2540,1380,420,700,320
14212,"$25,000 - $49,999",1160,600,240,310,200
14212,"$50,000 - $74,999",370,150,160,40,80
14212,"$75,000 -  $99,999",160,40,110,20,50
14212,"$100,000 - $199,999",100,** ,80,** ,30
14212,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14213,total,"9,450","5,340","1,940","2,030","1,000"
14213,"< $25,000",5210,3100,700,1350,440
14213,"$25,000 - $49,999",2720,1580,540,550,230
14213,"$50,000 - $74,999",840,430,290,90,160
14213,"$75,000 -  $99,999",330,140,170,40,80
14213,"$100,000 - $199,999",300,90,200,** ,90
14213,"$200,000+",50,** ,40,0,** 
,,,,,,
14214,total,"7,740","4,440","1,860","1,270","1,640"
14214,"< $25,000",3280,2310,270,660,480
14214,"$25,000 - $49,999",1920,1270,220,390,310
14214,"$50,000 - $74,999",910,510,220,130,250
14214,"$75,000 -  $99,999",540,200,270,60,170
14214,"$100,000 - $199,999",790,120,620,30,310
14214,"$200,000+",300,30,260,** ,120
,,,,,,
14215,total,"16,760","8,480","2,350","5,530","3,110"
14215,"< $25,000",8860,5040,550,3170,1180
14215,"$25,000 - $49,999",4940,2330,620,1810,950
14215,"$50,000 - $74,999",1690,750,470,390,520
14215,"$75,000 -  $99,999",690,230,320,110,240
14215,"$100,000 - $199,999",530,130,360,50,220
14215,"$200,000+",50,** ,30,** ,** 
,,,,,,
14216,total,"11,180","6,890","2,780","1,260","2,450"
14216,"< $25,000",3570,2760,260,510,700
14216,"$25,000 - $49,999",3220,2310,370,430,520
14216,"$50,000 - $74,999",1830,1140,450,190,400
14216,"$75,000 -  $99,999",980,380,480,70,290
14216,"$100,000 - $199,999",1230,260,920,60,410
14216,"$200,000+",350,40,300,** ,130
,,,,,,
14217,total,"11,760","6,640","3,670","1,190","3,160"
14217,"< $25,000",3770,3000,330,390,990
14217,"$25,000 - $49,999",3270,2140,560,460,760
14217,"$50,000 - $74,999",1970,970,720,220,560
14217,"$75,000 -  $99,999",1220,340,780,80,390
14217,"$100,000 - $199,999",1360,190,1130,40,400
14217,"$200,000+",170,** ,150,** ,60
,,,,,,
14218,total,"8,940","4,900","2,510","1,370","2,140"
14218,"< $25,000",3960,2590,580,740,830
14218,"$25,000 - $49,999",2580,1490,540,470,570
14218,"$50,000 - $74,999",1240,570,530,120,360
14218,"$75,000 -  $99,999",630,170,420,40,200
14218,"$100,000 - $199,999",500,80,410,** ,180
14218,"$200,000+",30,** ,30,** ,** 
,,,,,,
14219,total,"6,130","3,490","1,840",710,"1,620"
14219,"< $25,000",2160,1690,200,260,560
14219,"$25,000 - $49,999",1730,1100,300,280,400
14219,"$50,000 - $74,999",1020,470,430,100,310
14219,"$75,000 -  $99,999",640,160,420,50,200
14219,"$100,000 - $199,999",540,70,450,20,150
14219,"$200,000+",40,** ,40,** ,** 
,,,,,,
14220,total,"11,770","6,700","3,220","1,630","2,540"
14220,"< $25,000",4290,3170,370,710,840
14220,"$25,000 - $49,999",3540,2250,560,620,630
14220,"$50,000 - $74,999",1770,880,660,180,450
14220,"$75,000 -  $99,999",1050,290,660,90,320
14220,"$100,000 - $199,999",1050,110,910,30,300
14220,"$200,000+",70,** ,60,0,** 
,,,,,,
14221,total,"27,690","13,750","11,690","1,660","10,100"
14221,"< $25,000",7640,6490,690,360,2100
14221,"$25,000 - $49,999",4690,3130,920,460,1650
14221,"$50,000 - $74,999",3710,1910,1310,360,1550
14221,"$75,000 -  $99,999",3250,1040,1900,230,1380
14221,"$100,000 - $199,999",6030,930,4820,200,2380
14221,"$200,000+",2370,250,2050,50,1040
,,,,,,
14222,total,"5,950","4,180","1,340",300,"1,250"
14222,"< $25,000",1670,1490,60,90,240
14222,"$25,000 - $49,999",1570,1360,110,60,200
14222,"$50,000 - $74,999",900,690,120,60,170
14222,"$75,000 -  $99,999",490,280,170,30,160
14222,"$100,000 - $199,999",820,260,500,60,280
14222,"$200,000+",500,100,380,** ,200
,,,,,,
14223,total,"12,350","6,670","4,330","1,110","3,720"
14223,"< $25,000",3760,3020,360,330,1020
14223,"$25,000 - $49,999",3050,1970,570,420,810
14223,"$50,000 - $74,999",2160,1040,840,220,710
14223,"$75,000 -  $99,999",1490,380,990,90,510
14223,"$100,000 - $199,999",1680,230,1400,50,590
14223,"$200,000+",210,30,170,** ,80
,,,,,,
14224,total,"21,870","11,640","8,080","1,680","6,880"
14224,"< $25,000",6660,5460,640,500,1940
14224,"$25,000 - $49,999",5280,3500,1020,610,1620
14224,"$50,000 - $74,999",3570,1740,1360,330,1310
14224,"$75,000 -  $99,999",2670,600,1830,150,940
14224,"$100,000 - $199,999",3320,300,2900,90,950
14224,"$200,000+",370,40,330,** ,120
,,,,,,
14225,total,"18,030","10,200","5,160","2,240","4,540"
14225,"< $25,000",6330,4660,680,890,1710
14225,"$25,000 - $49,999",5670,3620,960,900,1190
14225,"$50,000 - $74,999",2970,1330,1230,310,800
14225,"$75,000 -  $99,999",1700,410,1150,110,460
14225,"$100,000 - $199,999",1280,180,1090,30,350
14225,"$200,000+",80,** ,50,** ,30
,,,,,,
14226,total,"14,770","7,790","5,230","1,410","4,260"
14226,"< $25,000",4490,3540,430,450,1050
14226,"$25,000 - $49,999",3310,2120,580,490,800
14226,"$50,000 - $74,999",2200,1160,730,230,670
14226,"$75,000 -  $99,999",1500,480,870,110,560
14226,"$100,000 - $199,999",2370,390,1860,90,830
14226,"$200,000+",900,100,760,40,350
,,,,,,
14227,total,"12,050","6,580","4,120","1,130","3,990"
14227,"< $25,000",3940,3010,510,380,1360
14227,"$25,000 - $49,999",3420,2150,710,450,1030
14227,"$50,000 - $74,999",2020,980,800,200,700
14227,"$75,000 -  $99,999",1350,300,950,70,480
14227,"$100,000 - $199,999",1240,140,1080,30,390
14227,"$200,000+",80,** ,70,0,30
,,,,,,
14228,total,"9,620","5,160","3,340",940,"2,570"
14228,"< $25,000",3360,2610,360,340,680
14228,"$25,000 - $49,999",2200,1380,430,340,520
14228,"$50,000 - $74,999",1300,650,450,140,420
14228,"$75,000 -  $99,999",940,290,570,70,360
14228,"$100,000 - $199,999",1430,190,1190,50,490
14228,"$200,000+",390,40,340,** ,100
,,,,,,
14301,total,"4,950","2,720",870,"1,300",950
14301,"< $25,000",2810,1710,210,860,450
14301,"$25,000 - $49,999",1380,750,250,360,260
14301,"$50,000 - $74,999",420,190,160,60,120
14301,"$75,000 -  $99,999",190,50,130,20,60
14301,"$100,000 - $199,999",150,20,120,** ,60
14301,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14303,total,"2,410","1,330",420,630,480
14303,"< $25,000",1340,810,110,400,210
14303,"$25,000 - $49,999",680,370,130,170,130
14303,"$50,000 - $74,999",220,110,80,30,60
14303,"$75,000 -  $99,999",90,20,50,30,40
14303,"$100,000 - $199,999",80,20,50,** ,40
14303,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14304,total,"15,060","7,980","4,990","1,800","4,380"
14304,"< $25,000",5510,4050,660,730,1530
14304,"$25,000 - $49,999",4200,2490,890,690,1070
14304,"$50,000 - $74,999",2310,950,1070,230,800
14304,"$75,000 -  $99,999",1390,320,940,100,470
14304,"$100,000 - $199,999",1500,170,1290,50,460
14304,"$200,000+",150,** ,140,** ,50
,,,,,,
14305,total,"7,180","3,640","1,760","1,660","1,690"
14305,"< $25,000",3400,2110,310,950,630
14305,"$25,000 - $49,999",1920,1010,350,510,410
14305,"$50,000 - $74,999",820,340,330,130,270
14305,"$75,000 -  $99,999",480,120,300,50,190
14305,"$100,000 - $199,999",490,60,420,20,170
14305,"$200,000+",70,** ,50,** ,20
,,,,,,
14411,total,"5,330","2,590","1,890",740,"1,410"
14411,"< $25,000",2040,1400,260,340,490
14411,"$25,000 - $49,999",1520,810,380,290,370
14411,"$50,000 - $74,999",790,260,430,80,240
14411,"$75,000 -  $99,999",510,80,410,30,170
14411,"$100,000 - $199,999",420,40,370,** ,140
14411,"$200,000+",50,** ,40,** ,** 
,,,,,,
14414,total,"3,440","1,740","1,350",300,960
14414,"< $25,000",1130,890,120,90,280
14414,"$25,000 - $49,999",830,520,190,120,220
14414,"$50,000 - $74,999",530,220,240,60,160
14414,"$75,000 -  $99,999",330,70,240,30,120
14414,"$100,000 - $199,999",540,40,490,** ,150
14414,"$200,000+",80,** ,70,0,30
,,,,,,
14416,total,"1,890",860,820,170,540
14416,"< $25,000",600,450,80,50,180
14416,"$25,000 - $49,999",440,250,120,70,100
14416,"$50,000 - $74,999",310,110,160,30,90
14416,"$75,000 -  $99,999",250,30,200,20,80
14416,"$100,000 - $199,999",270,20,260,** ,90
14416,"$200,000+",20,** ,** ,0,** 
,,,,,,
14418,total,560,230,270,40,200
14418,"< $25,000",200,130,50,** ,60
14418,"$25,000 - $49,999",140,60,50,40,50
14418,"$50,000 - $74,999",100,40,60,** ,30
14418,"$75,000 -  $99,999",50,** ,40,** ,20
14418,"$100,000 - $199,999",70,** ,70,0,40
14418,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14420,total,"8,020","4,020","3,050",790,"2,120"
14420,"< $25,000",2750,2200,230,280,530
14420,"$25,000 - $49,999",1900,1110,420,310,440
14420,"$50,000 - $74,999",1170,420,580,120,380
14420,"$75,000 -  $99,999",890,160,660,60,320
14420,"$100,000 - $199,999",1180,130,1040,20,400
14420,"$200,000+",130,** ,120,** ,50
,,,,,,
14422,total,"1,080",510,470,100,310
14422,"< $25,000",330,250,50,30,90
14422,"$25,000 - $49,999",280,170,70,40,60
14422,"$50,000 - $74,999",180,60,100,30,60
14422,"$75,000 -  $99,999",120,30,90,** ,40
14422,"$100,000 - $199,999",170,** ,160,** ,60
14422,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14423,total,"2,320","1,140",970,210,650
14423,"< $25,000",670,520,80,70,180
14423,"$25,000 - $49,999",640,380,160,90,150
14423,"$50,000 - $74,999",380,160,180,50,130
14423,"$75,000 -  $99,999",300,50,240,** ,90
14423,"$100,000 - $199,999",290,30,270,** ,100
14423,"$200,000+",40,** ,40,0,** 
,,,,,,
14424,total,"13,900","7,110","5,210","1,280","4,640"
14424,"< $25,000",4560,3630,410,450,1130
14424,"$25,000 - $49,999",3190,1920,680,470,910
14424,"$50,000 - $74,999",2020,900,860,210,800
14424,"$75,000 -  $99,999",1350,340,900,80,590
14424,"$100,000 - $199,999",2160,260,1820,70,960
14424,"$200,000+",620,60,540,** ,250
,,,,,,
14425,total,"6,100","2,850","2,340",780,"1,330"
14425,"< $25,000",1850,1400,170,260,380
14425,"$25,000 - $49,999",1430,840,280,260,290
14425,"$50,000 - $74,999",1020,400,430,150,240
14425,"$75,000 -  $99,999",650,120,450,70,180
14425,"$100,000 - $199,999",1010,90,890,40,220
14425,"$200,000+",140,** ,120,** ,20
,,,,,,
14427,total,940,410,400,110,270
14427,"< $25,000",330,220,60,40,80
14427,"$25,000 - $49,999",250,120,70,70,60
14427,"$50,000 - $74,999",150,50,90,** ,40
14427,"$75,000 -  $99,999",120,20,100,** ,50
14427,"$100,000 - $199,999",90,** ,80,** ,40
14427,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14428,total,"4,510","2,190","1,920",320,"1,380"
14428,"< $25,000",1320,1080,130,100,340
14428,"$25,000 - $49,999",1040,650,240,110,290
14428,"$50,000 - $74,999",710,300,320,60,260
14428,"$75,000 -  $99,999",510,90,390,50,200
14428,"$100,000 - $199,999",820,70,740,** ,260
14428,"$200,000+",110,** ,100,** ,30
,,,,,,
14432,total,"2,570","1,250",950,300,690
14432,"< $25,000",840,620,100,110,210
14432,"$25,000 - $49,999",680,380,160,110,170
14432,"$50,000 - $74,999",450,170,210,50,130
14432,"$75,000 -  $99,999",260,50,190,30,90
14432,"$100,000 - $199,999",310,30,270,** ,90
14432,"$200,000+",30,** ,20,** ,** 
,,,,,,
14433,total,"1,990",910,760,270,510
14433,"< $25,000",720,490,100,120,150
14433,"$25,000 - $49,999",610,290,180,110,150
14433,"$50,000 - $74,999",300,100,160,40,90
14433,"$75,000 -  $99,999",180,30,150,** ,60
14433,"$100,000 - $199,999",160,** ,170,0,60
14433,"$200,000+",20,** ,** ,0,** 
,,,,,,
14435,total,"1,450",650,650,120,490
14435,"< $25,000",410,310,50,50,110
14435,"$25,000 - $49,999",330,190,90,40,100
14435,"$50,000 - $74,999",250,100,120,30,100
14435,"$75,000 -  $99,999",170,50,130,** ,70
14435,"$100,000 - $199,999",240,** ,220,** ,90
14435,"$200,000+",50,** ,40,0,20
,,,,,,
14437,total,"4,370","2,040","1,700",530,"1,340"
14437,"< $25,000",1560,1070,230,230,420
14437,"$25,000 - $49,999",1160,600,330,200,340
14437,"$50,000 - $74,999",740,260,380,70,240
14437,"$75,000 -  $99,999",440,70,340,30,170
14437,"$100,000 - $199,999",420,40,380,** ,170
14437,"$200,000+",50,** ,40,** ,** 
,,,,,,
14441,total,170,90,70,0,60
14441,"< $25,000",60,40,30,0,30
14441,"$25,000 - $49,999",60,50,** ,0,** 
14441,"$50,000 - $74,999",30,** ,40,0,30
14441,"$75,000 -  $99,999",** ,** ,** ,0,** 
14441,"$100,000 - $199,999",20,** ,** ,0,** 
14441,"$200,000+",** ,** ,** ,0,** 
,,,,,,
14445,total,"4,030","2,400","1,040",470,"1,000"
14445,"< $25,000",1430,1110,110,180,310
14445,"$25,000 - $49,999",1280,820,210,200,270
14445,"$50,000 - $74,999",680,330,260,70,180
14445,"$75,000 -  $99,999",320,90,200,20,110
14445,"$100,000 - $199,999",270,50,220,** ,110
14445,"$200,000+",50,** ,40,0,20
,,,,,,
14450,total,"21,910","10,310","9,700","1,510","7,390"
14450,"< $25,000",5900,5000,470,360,1510
14450,"$25,000 - $49,999",3890,2540,780,460,1240
14450,"$50,000 - $74,999",3000,1480,1110,300,1240
14450,"$75,000 -  $99,999",2410,640,1540,180,1040
14450,"$100,000 - $199,999",5040,520,4310,180,1810
14450,"$200,000+",1670,130,1490,30,550
,,,,,,
14454,total,"3,060","1,520","1,240",250,"1,100"
14454,"< $25,000",920,710,100,100,210
14454,"$25,000 - $49,999",620,400,130,80,220
14454,"$50,000 - $74,999",470,230,180,40,190
14454,"$75,000 -  $99,999",350,100,230,30,170
14454,"$100,000 - $199,999",580,80,500,** ,260
14454,"$200,000+",120,** ,100,** ,50
,,,,,,
14456,total,"8,940","4,710","2,690","1,370","2,480"
14456,"< $25,000",3500,2440,340,680,770
14456,"$25,000 - $49,999",2430,1430,430,490,560
14456,"$50,000 - $74,999",1230,540,520,140,420
14456,"$75,000 -  $99,999",700,160,490,30,280
14456,"$100,000 - $199,999",890,110,750,30,360
14456,"$200,000+",190,30,160,** ,90
,,,,,,
14462,total,290,130,140,20,80
14462,"< $25,000",90,60,** ,20,** 
14462,"$25,000 - $49,999",80,40,40,** ,50
14462,"$50,000 - $74,999",50,30,30,** ,** 
14462,"$75,000 -  $99,999",30,** ,30,** ,30
14462,"$100,000 - $199,999",40,** ,40,** ,** 
14462,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14464,total,"3,390","1,550","1,430",390,890
14464,"< $25,000",1120,810,150,160,250
14464,"$25,000 - $49,999",950,510,270,160,220
14464,"$50,000 - $74,999",520,160,300,70,150
14464,"$75,000 -  $99,999",380,70,310,** ,130
14464,"$100,000 - $199,999",380,** ,360,** ,120
14464,"$200,000+",40,** ,40,0,20
,,,,,,
14466,total,840,370,370,70,250
14466,"< $25,000",280,200,40,30,60
14466,"$25,000 - $49,999",190,110,40,40,50
14466,"$50,000 - $74,999",130,60,70,** ,50
14466,"$75,000 -  $99,999",110,** ,90,** ,40
14466,"$100,000 - $199,999",130,** ,130,** ,50
14466,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14467,total,"4,840","2,420","1,880",450,"1,450"
14467,"< $25,000",1500,1110,230,150,390
14467,"$25,000 - $49,999",1220,740,270,180,330
14467,"$50,000 - $74,999",800,370,310,90,260
14467,"$75,000 -  $99,999",540,130,380,30,200
14467,"$100,000 - $199,999",670,70,590,** ,230
14467,"$200,000+",110,** ,100,** ,40
,,,,,,
14468,total,"9,510","4,230","4,320",780,"2,950"
14468,"< $25,000",2710,2160,300,220,730
14468,"$25,000 - $49,999",2150,1160,640,300,660
14468,"$50,000 - $74,999",1470,530,720,160,520
14468,"$75,000 -  $99,999",1240,200,950,70,460
14468,"$100,000 - $199,999",1650,130,1480,30,490
14468,"$200,000+",290,50,230,** ,90
,,,,,,
14469,total,"2,900","1,310","1,260",260,870
14469,"< $25,000",920,670,130,100,250
14469,"$25,000 - $49,999",710,380,210,90,190
14469,"$50,000 - $74,999",440,170,220,40,140
14469,"$75,000 -  $99,999",300,50,230,30,120
14469,"$100,000 - $199,999",450,40,400,** ,150
14469,"$200,000+",80,** ,70,** ,20
,,,,,,
14470,total,"3,750","1,810","1,430",400,"1,020"
14470,"< $25,000",1270,920,170,160,330
14470,"$25,000 - $49,999",1090,600,270,170,250
14470,"$50,000 - $74,999",590,210,300,50,190
14470,"$75,000 -  $99,999",410,60,330,20,130
14470,"$100,000 - $199,999",350,20,320,** ,120
14470,"$200,000+",40,** ,40,** ,** 
,,,,,,
14471,total,"1,350",660,580,100,560
14471,"< $25,000",430,310,80,40,170
14471,"$25,000 - $49,999",350,220,90,30,110
14471,"$50,000 - $74,999",210,80,110,30,100
14471,"$75,000 -  $99,999",160,30,130,** ,80
14471,"$100,000 - $199,999",170,20,150,** ,100
14471,"$200,000+",30,** ,20,** ,** 
,,,,,,
14472,total,"4,410","1,970","2,050",300,"1,340"
14472,"< $25,000",1230,1040,110,70,270
14472,"$25,000 - $49,999",710,450,140,90,200
14472,"$50,000 - $74,999",540,250,210,60,200
14472,"$75,000 -  $99,999",420,100,260,40,170
14472,"$100,000 - $199,999",980,130,840,40,330
14472,"$200,000+",530,** ,490,** ,170
,,,,,,
14475,total,210,90,100,0,70
14475,"< $25,000",70,60,** ,0,30
14475,"$25,000 - $49,999",40,30,** ,0,** 
14475,"$50,000 - $74,999",40,** ,50,0,40
14475,"$75,000 -  $99,999",** ,** ,** ,0,** 
14475,"$100,000 - $199,999",60,** ,50,0,** 
14475,"$200,000+",** ,** ,** ,0,** 
,,,,,,
14476,total,"1,040",480,460,70,300
14476,"< $25,000",340,250,40,30,60
14476,"$25,000 - $49,999",280,140,100,40,90
14476,"$50,000 - $74,999",170,70,90,** ,60
14476,"$75,000 -  $99,999",100,20,90,** ,40
14476,"$100,000 - $199,999",130,** ,140,0,50
14476,"$200,000+",20,** ,** ,0,** 
,,,,,,
14477,total,760,350,310,80,210
14477,"< $25,000",270,190,40,40,70
14477,"$25,000 - $49,999",190,100,60,40,50
14477,"$50,000 - $74,999",120,40,60,** ,40
14477,"$75,000 -  $99,999",70,20,50,** ,20
14477,"$100,000 - $199,999",110,** ,100,** ,30
14477,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14478,total,420,190,200,40,180
14478,"< $25,000",120,90,20,** ,40
14478,"$25,000 - $49,999",90,50,30,40,30
14478,"$50,000 - $74,999",70,30,30,** ,30
14478,"$75,000 -  $99,999",50,20,40,** ,30
14478,"$100,000 - $199,999",90,** ,80,** ,50
14478,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14480,total,460,270,130,60,140
14480,"< $25,000",170,130,40,20,50
14480,"$25,000 - $49,999",120,80,** ,40,20
14480,"$50,000 - $74,999",70,30,20,** ,20
14480,"$75,000 -  $99,999",50,30,30,** ,20
14480,"$100,000 - $199,999",50,** ,40,0,30
14480,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14481,total,890,440,340,100,270
14481,"< $25,000",270,200,30,40,70
14481,"$25,000 - $49,999",250,140,70,40,60
14481,"$50,000 - $74,999",170,70,70,20,60
14481,"$75,000 -  $99,999",100,30,80,** ,30
14481,"$100,000 - $199,999",100,** ,90,** ,50
14481,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14482,total,"4,140","2,100","1,540",420,"1,110"
14482,"< $25,000",1400,1060,150,170,360
14482,"$25,000 - $49,999",1080,670,220,150,240
14482,"$50,000 - $74,999",630,250,300,70,180
14482,"$75,000 -  $99,999",430,80,330,30,130
14482,"$100,000 - $199,999",520,40,470,** ,160
14482,"$200,000+",80,** ,70,** ,40
,,,,,,
14485,total,"2,010",950,840,170,550
14485,"< $25,000",690,540,80,50,160
14485,"$25,000 - $49,999",460,260,120,70,100
14485,"$50,000 - $74,999",310,100,170,50,120
14485,"$75,000 -  $99,999",210,30,160,** ,70
14485,"$100,000 - $199,999",300,20,280,** ,100
14485,"$200,000+",40,** ,30,** ,** 
,,,,,,
14486,total,160,60,80,0,40
14486,"< $25,000",40,30,20,0,20
14486,"$25,000 - $49,999",40,30,** ,0,** 
14486,"$50,000 - $74,999",50,** ,30,0,20
14486,"$75,000 -  $99,999",** ,** ,** ,0,** 
14486,"$100,000 - $199,999",30,** ,30,0,** 
14486,"$200,000+",** ,** ,** ,0,** 
,,,,,,
14487,total,"3,010","1,440","1,250",270,850
14487,"< $25,000",960,780,90,80,200
14487,"$25,000 - $49,999",670,390,160,110,200
14487,"$50,000 - $74,999",430,180,190,50,130
14487,"$75,000 -  $99,999",350,60,260,30,140
14487,"$100,000 - $199,999",510,30,470,** ,150
14487,"$200,000+",90,** ,80,** ,30
,,,,,,
14489,total,"3,170","1,550","1,130",460,910
14489,"< $25,000",1180,810,150,210,290
14489,"$25,000 - $49,999",950,520,230,180,240
14489,"$50,000 - $74,999",490,160,270,70,160
14489,"$75,000 -  $99,999",280,40,230,** ,110
14489,"$100,000 - $199,999",250,20,230,** ,110
14489,"$200,000+",20,** ,20,0,** 
,,,,,,
14502,total,"5,230","2,350","2,320",460,"1,400"
14502,"< $25,000",1620,1250,190,160,370
14502,"$25,000 - $49,999",1130,630,290,180,300
14502,"$50,000 - $74,999",790,300,390,70,250
14502,"$75,000 -  $99,999",590,100,450,30,190
14502,"$100,000 - $199,999",970,70,880,20,250
14502,"$200,000+",130,** ,120,** ,40
,,,,,,
14504,total,890,480,290,120,250
14504,"< $25,000",330,250,40,40,100
14504,"$25,000 - $49,999",270,160,50,60,60
14504,"$50,000 - $74,999",150,70,80,20,50
14504,"$75,000 -  $99,999",70,** ,60,** ,20
14504,"$100,000 - $199,999",70,** ,60,** ,20
14504,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14505,total,"2,600","1,160","1,110",260,690
14505,"< $25,000",850,610,120,100,220
14505,"$25,000 - $49,999",660,340,180,110,140
14505,"$50,000 - $74,999",410,150,210,50,120
14505,"$75,000 -  $99,999",340,60,290,** ,110
14505,"$100,000 - $199,999",310,** ,280,** ,100
14505,"$200,000+",30,0,30,0,** 
,,,,,,
14506,total,630,260,340,30,210
14506,"< $25,000",160,140,** ,** ,30
14506,"$25,000 - $49,999",80,50,40,30,30
14506,"$50,000 - $74,999",70,50,30,** ,30
14506,"$75,000 -  $99,999",60,** ,40,** ,30
14506,"$100,000 - $199,999",180,20,160,** ,70
14506,"$200,000+",80,** ,70,0,20
,,,,,,
14507,total,650,310,270,60,220
14507,"< $25,000",230,160,40,20,70
14507,"$25,000 - $49,999",170,90,50,40,50
14507,"$50,000 - $74,999",110,40,70,** ,40
14507,"$75,000 -  $99,999",70,20,50,** ,30
14507,"$100,000 - $199,999",70,** ,60,** ,30
14507,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14510,total,"2,220","1,080",750,340,620
14510,"< $25,000",900,590,110,180,200
14510,"$25,000 - $49,999",600,320,150,110,150
14510,"$50,000 - $74,999",320,120,150,50,110
14510,"$75,000 -  $99,999",220,30,180,** ,80
14510,"$100,000 - $199,999",180,20,160,** ,80
14510,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14512,total,"2,260","1,070",970,190,750
14512,"< $25,000",850,620,130,90,220
14512,"$25,000 - $49,999",530,260,200,60,170
14512,"$50,000 - $74,999",360,120,210,40,150
14512,"$75,000 -  $99,999",210,40,150,** ,80
14512,"$100,000 - $199,999",250,30,220,** ,100
14512,"$200,000+",60,** ,60,** ,30
,,,,,,
14513,total,"6,490","3,290","2,040","1,020","1,710"
14513,"< $25,000",2510,1740,280,450,570
14513,"$25,000 - $49,999",1860,1020,380,410,410
14513,"$50,000 - $74,999",990,390,450,120,290
14513,"$75,000 -  $99,999",570,90,430,40,210
14513,"$100,000 - $199,999",500,50,450,** ,200
14513,"$200,000+",60,** ,50,0,30
,,,,,,
14514,total,"3,080","1,430","1,270",300,810
14514,"< $25,000",880,710,70,80,240
14514,"$25,000 - $49,999",770,450,170,130,200
14514,"$50,000 - $74,999",460,160,230,50,130
14514,"$75,000 -  $99,999",350,70,250,40,100
14514,"$100,000 - $199,999",540,40,480,** ,140
14514,"$200,000+",80,** ,70,0,** 
,,,,,,
14516,total,"1,050",500,440,100,310
14516,"< $25,000",350,250,50,50,90
14516,"$25,000 - $49,999",280,150,90,50,60
14516,"$50,000 - $74,999",190,70,110,** ,60
14516,"$75,000 -  $99,999",100,30,80,** ,40
14516,"$100,000 - $199,999",110,** ,90,** ,60
14516,"$200,000+",20,0,20,0,** 
,,,,,,
14517,total,"1,310",620,500,150,400
14517,"< $25,000",490,340,80,60,140
14517,"$25,000 - $49,999",350,190,80,60,110
14517,"$50,000 - $74,999",180,90,80,30,50
14517,"$75,000 -  $99,999",130,** ,110,** ,50
14517,"$100,000 - $199,999",160,** ,150,** ,50
14517,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14519,total,"6,070","2,730","2,670",560,"1,660"
14519,"< $25,000",1750,1340,180,200,410
14519,"$25,000 - $49,999",1380,810,330,210,360
14519,"$50,000 - $74,999",910,330,460,90,290
14519,"$75,000 -  $99,999",730,140,540,30,240
14519,"$100,000 - $199,999",1100,110,980,30,310
14519,"$200,000+",200,** ,180,** ,50
,,,,,,
14521,total,"1,240",580,490,150,380
14521,"< $25,000",420,290,60,60,100
14521,"$25,000 - $49,999",380,180,130,60,110
14521,"$50,000 - $74,999",210,80,100,30,70
14521,"$75,000 -  $99,999",100,30,80,** ,40
14521,"$100,000 - $199,999",100,** ,100,** ,60
14521,"$200,000+",30,** ,20,0,** 
,,,,,,
14522,total,"4,440","2,170","1,690",500,"1,210"
14522,"< $25,000",1550,1110,190,220,380
14522,"$25,000 - $49,999",1210,700,290,180,280
14522,"$50,000 - $74,999",690,250,350,80,230
14522,"$75,000 -  $99,999",440,70,360,20,150
14522,"$100,000 - $199,999",480,40,440,** ,150
14522,"$200,000+",70,** ,60,0,20
,,,,,,
14525,total,"1,320",590,580,120,350
14525,"< $25,000",420,300,70,40,110
14525,"$25,000 - $49,999",340,180,100,50,70
14525,"$50,000 - $74,999",240,80,130,30,70
14525,"$75,000 -  $99,999",170,30,140,** ,50
14525,"$100,000 - $199,999",150,** ,140,** ,50
14525,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
14526,total,"10,740","4,950","4,810",800,"3,430"
14526,"< $25,000",2870,2460,220,160,710
14526,"$25,000 - $49,999",1890,1190,400,250,590
14526,"$50,000 - $74,999",1440,700,510,170,540
14526,"$75,000 -  $99,999",1170,300,750,100,510
14526,"$100,000 - $199,999",2520,250,2160,90,830
14526,"$200,000+",850,50,770,30,250
,,,,,,
14527,total,"5,760","2,830","2,290",550,"1,920"
14527,"< $25,000",2170,1570,310,260,570
14527,"$25,000 - $49,999",1520,800,480,210,390
14527,"$50,000 - $74,999",820,270,460,60,310
14527,"$75,000 -  $99,999",530,110,410,20,250
14527,"$100,000 - $199,999",570,60,500,** ,300
14527,"$200,000+",150,20,130,** ,100
,,,,,,
14530,total,"2,460","1,220",930,280,670
14530,"< $25,000",880,660,100,100,220
14530,"$25,000 - $49,999",670,360,170,130,160
