,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
323,10069.0,"$50,000 - $74,999",250,170,40,30,30
324,10069.0,"$75,000 -  $99,999",210,130,40,20,40
325,10069.0,"$100,000 - $199,999",610,350,190,30,90
326,10069.0,"$200,000+",1340,340,900,60,200
327,,,,,,,
328,10075.0,total,"14,310","9,210","4,160",490,"4,150"
329,10075.0,"< $25,000",2170,1900,130,70,590
330,10075.0,"$25,000 - $49,999",1540,1300,140,60,370
331,10075.0,"$50,000 - $74,999",1840,1560,150,60,420
332,10075.0,"$75,000 -  $99,999",1610,1300,210,50,390
333,10075.0,"$100,000 - $199,999",3170,2080,850,120,1010
334,10075.0,"$200,000+",3980,1070,2680,130,1370
335,,,,,,,
336,10128.0,total,"33,300","20,900","9,500","1,850","8,280"
337,10128.0,"< $25,000",5690,4760,360,430,1400
338,10128.0,"$25,000 - $49,999",4200,3380,350,340,880
339,10128.0,"$50,000 - $74,999",4730,3910,390,260,800
340,10128.0,"$75,000 -  $99,999",3630,2820,470,190,750
341,10128.0,"$100,000 - $199,999",6800,4190,2030,330,1790
342,10128.0,"$200,000+",8250,1840,5900,300,2660
343,,,,,,,
344,10162.0,total,750,350,330,40,240
345,10162.0,"< $25,000",90,80,** ,** ,40
346,10162.0,"$25,000 - $49,999",60,40,30,** ,50
347,10162.0,"$50,000 - $74,999",50,40,** ,** ,** 
348,10162.0,"$75,000 -  $99,999",60,40,** ,** ,20
349,10162.0,"$100,000 - $199,999",180,90,70,40,70
350,10162.0,"$200,000+",310,60,230,** ,60
351,,,,,,,
352,10280.0,total,"4,240","2,430","1,430",240,660
353,10280.0,"< $25,000",460,370,40,30,110
354,10280.0,"$25,000 - $49,999",340,280,40,20,70
355,10280.0,"$50,000 - $74,999",440,340,50,30,80
356,10280.0,"$75,000 -  $99,999",430,320,60,20,70
357,10280.0,"$100,000 - $199,999",1150,700,320,80,150
358,10280.0,"$200,000+",1420,420,920,60,180
359,,,,,,,
360,10282.0,total,"2,390","1,040","1,160",130,260
361,10282.0,"< $25,000",230,190,** ,30,50
362,10282.0,"$25,000 - $49,999",130,90,40,** ,20
363,10282.0,"$50,000 - $74,999",140,110,** ,20,30
364,10282.0,"$75,000 -  $99,999",140,100,30,** ,20
365,10282.0,"$100,000 - $199,999",370,230,100,20,60
366,10282.0,"$200,000+",1380,320,990,60,80
367,,,,,,,
368,10301.0,total,"18,300","9,390","4,790","3,710","4,190"
369,10301.0,"< $25,000",6360,4090,720,1460,1140
370,10301.0,"$25,000 - $49,999",3970,2180,650,1050,760
371,10301.0,"$50,000 - $74,999",2720,1470,580,580,650
372,10301.0,"$75,000 -  $99,999",1670,760,540,300,480
373,10301.0,"$100,000 - $199,999",2650,760,1530,290,780
